"","STATE","COUNTYNAME","param"
"329","FL","Florida",1.54549974075105e-05
"330","FL","Alachua County",1.69846221285625e-05
"331","FL","Baker County",2.12343962842892e-05
"332","FL","Bay County",1.90418185317522e-05
"333","FL","Bradford County",2.30346040651369e-05
"334","FL","Brevard County",1.7373000296276e-05
"335","FL","Broward County",1.56316403071437e-05
"336","FL","Calhoun County",2.40244258921394e-05
"337","FL","Charlotte County",1.84334589916678e-05
"338","FL","Citrus County",2.07049634639121e-05
"339","FL","Clay County",1.71877103145108e-05
"340","FL","Collier County",4.30114309817678e-06
"341","FL","Columbia County",2.07559250681461e-05
"342","FL","DeSoto County",2.62326936731143e-05
"343","FL","Dixie County",2.53377659429764e-05
"344","FL","Duval County",1.77812197691365e-05
"345","FL","Escambia County",1.9960236384627e-05
"346","FL","Flagler County",1.7866907185005e-05
"347","FL","Franklin County",1.22065408046076e-05
"348","FL","Gadsden County",2.66527926689016e-05
"349","FL","Gilchrist County",2.3238477859979e-05
"350","FL","Glades County",1.73909786115028e-05
"351","FL","Gulf County",1.92492925097175e-05
"352","FL","Hamilton County",2.74158344892506e-05
"353","FL","Hardee County",2.5978894472566e-05
"354","FL","Hendry County",2.45547938544912e-05
"355","FL","Hernando County",2.30299599468341e-05
"356","FL","Highlands County",2.44082190522161e-05
"357","FL","Hillsborough County",1.60801007997973e-05
"358","FL","Holmes County",2.64312211586705e-05
"359","FL","Indian River County",1.0991280943067e-05
"360","FL","Jackson County",2.47034525192428e-05
"361","FL","Jefferson County",1.97375408376897e-05
"362","FL","Lafayette County",2.43720110876815e-05
"363","FL","Lake County",1.91306505673677e-05
"364","FL","Lee County",1.38608592025037e-05
"365","FL","Leon County",1.7056235284519e-05
"366","FL","Levy County",2.58353872351809e-05
"367","FL","Liberty County",2.37140485153244e-05
"368","FL","Madison County",2.48304739619133e-05
"369","FL","Manatee County",1.41787730328123e-05
"370","FL","Marion County",2.1580027141309e-05
"371","FL","Martin County",8.63488845543349e-06
"372","FL","Miami-Dade County",1.65356883409558e-05
"373","FL","Monroe County",9.94556038384718e-06
"374","FL","Nassau County",1.38868838856968e-05
"375","FL","Okaloosa County",1.64360751237069e-05
"376","FL","Okeechobee County",2.30120978445362e-05
"377","FL","Orange County",1.71079207748442e-05
"378","FL","Osceola County",2.55306183316624e-05
"379","FL","Palm Beach County",9.85659430667612e-06
"380","FL","Pasco County",1.95810686887989e-05
"381","FL","Pinellas County",1.52426903745693e-05
"382","FL","Polk County",2.12588157899567e-05
"383","FL","Putnam County",2.6463012207483e-05
"384","FL","St. Johns County",1.01305257942452e-05
"385","FL","St. Lucie County",2.07772560840821e-05
"386","FL","Santa Rosa County",1.63761280225623e-05
"387","FL","Sarasota County",1.20274766074247e-05
"388","FL","Seminole County",1.53799332773527e-05
"389","FL","Sumter County",1.33114844436764e-05
"390","FL","Suwannee County",2.45714560747372e-05
"391","FL","Taylor County",2.25202354876716e-05
"392","FL","Union County",2.26392322196305e-05
"393","FL","Volusia County",1.97480500432812e-05
"394","FL","Wakulla County",2.00508127534693e-05
"395","FL","Walton County",1.23154212523338e-05
"396","FL","Washington County",2.49950895295441e-05
"397","GA","Georgia",1.65480029696861e-05
"398","GA","Appling County",2.30565092660344e-05
"399","GA","Atkinson County",3.21726966764425e-05
"400","GA","Bacon County",2.45624740447575e-05
"401","GA","Baker County",2.77231532885167e-05
"402","GA","Baldwin County",2.33903240329098e-05
"403","GA","Banks County",2.31832061422196e-05
"404","GA","Barrow County",2.12836994639674e-05
"405","GA","Bartow County",1.95499315497439e-05
"406","GA","Ben Hill County",2.80646343349762e-05
"407","GA","Berrien County",2.55883210584436e-05
"408","GA","Bibb County",2.07506973858877e-05
"409","GA","Bleckley County",2.18106279054329e-05
"410","GA","Brantley County",2.65000735878566e-05
"411","GA","Brooks County",2.76091969007789e-05
"412","GA","Bryan County",1.5564418543102e-05
"413","GA","Bulloch County",2.21440551340001e-05
"414","GA","Burke County",2.38532126044011e-05
"415","GA","Butts County",1.94288812951908e-05
"416","GA","Calhoun County",2.79103103583855e-05
"417","GA","Camden County",2.08947073717398e-05
"418","GA","Candler County",2.6581258795403e-05
"419","GA","Carroll County",2.03786705068212e-05
"420","GA","Catoosa County",2.03879993208688e-05
"421","GA","Charlton County",2.50566709347974e-05
"422","GA","Chatham County",1.57529319296817e-05
"423","GA","Chattahoochee County",2.74028789463742e-05
"424","GA","Chattooga County",2.67421190715104e-05
"425","GA","Cherokee County",1.41228103643423e-05
"426","GA","Clarke County",2.08494823464009e-05
"427","GA","Clay County",2.96124264609136e-05
"428","GA","Clayton County",3.18818817072642e-05
"429","GA","Clinch County",2.61015428005995e-05
"430","GA","Cobb County",1.30492790571403e-05
"431","GA","Coffee County",2.46115182002046e-05
"432","GA","Colquitt County",2.48871253933771e-05
"433","GA","Columbia County",1.41558689989092e-05
"434","GA","Cook County",2.73972810323601e-05
"435","GA","Coweta County",1.59282967693797e-05
"436","GA","Crawford County",2.54228163623247e-05
"437","GA","Crisp County",2.40030378697604e-05
"438","GA","Dade County",2.20308612610564e-05
"439","GA","Dawson County",1.7117602640772e-05
"440","GA","Decatur County",2.5353988769084e-05
"441","GA","DeKalb County",1.62543701965898e-05
"442","GA","Dodge County",2.69532284263073e-05
"443","GA","Dooly County",2.45494651591333e-05
"444","GA","Dougherty County",2.29020933246273e-05
"445","GA","Douglas County",2.0941382700393e-05
"446","GA","Early County",2.60478775220207e-05
"447","GA","Echols County",2.68259085844761e-05
"448","GA","Effingham County",1.80394252160852e-05
"449","GA","Elbert County",2.58885169529967e-05
"450","GA","Emanuel County",2.80581425147395e-05
"451","GA","Evans County",2.54053121241835e-05
"452","GA","Fannin County",2.26737625644177e-05
"453","GA","Fayette County",1.14324380747478e-05
"454","GA","Floyd County",2.04854184170145e-05
"455","GA","Forsyth County",1.01265174670563e-05
"456","GA","Franklin County",2.4373389448107e-05
"457","GA","Fulton County",9.72214900679103e-06
"458","GA","Gilmer County",2.18813158902529e-05
"459","GA","Glascock County",2.38219861091514e-05
"460","GA","Glynn County",1.74265654041866e-05
"461","GA","Gordon County",2.18185251366876e-05
"462","GA","Grady County",2.54685973693151e-05
"463","GA","Greene County",1.18352535583689e-05
"464","GA","Gwinnett County",1.76206957542219e-05
"465","GA","Habersham County",2.07422848765626e-05
"466","GA","Hall County",1.77734484865617e-05
"467","GA","Hancock County",3.0946186476029e-05
"468","GA","Haralson County",2.19795774180623e-05
"469","GA","Harris County",1.48074712738984e-05
"470","GA","Hart County",2.27980848816091e-05
"471","GA","Heard County",2.46308691915437e-05
"472","GA","Henry County",1.92227481010883e-05
"473","GA","Houston County",1.90603974203436e-05
"474","GA","Irwin County",2.56157815548397e-05
"475","GA","Jackson County",1.87761847470822e-05
"476","GA","Jasper County",2.10936497611054e-05
"477","GA","Jeff Davis County",2.58016702473055e-05
"478","GA","Jefferson County",2.8079118408319e-05
"479","GA","Jenkins County",2.95243854231659e-05
"480","GA","Johnson County",2.69677984509664e-05
"481","GA","Jones County",2.01484904250385e-05
"482","GA","Lamar County",2.39290603504315e-05
"483","GA","Lanier County",2.82732411151031e-05
"484","GA","Laurens County",2.33340082554505e-05
"485","GA","Lee County",1.70487894365449e-05
"486","GA","Liberty County",2.63380052922985e-05
"487","GA","Lincoln County",2.17383887828494e-05
"488","GA","Long County",2.58730773520056e-05
"489","GA","Lowndes County",2.15749466504434e-05
"490","GA","Lumpkin County",2.07885710388625e-05
"491","GA","McDuffie County",2.46648236444485e-05
"492","GA","McIntosh County",2.37843240134409e-05
"493","GA","Macon County",2.94245958422024e-05
"494","GA","Madison County",2.27468524036884e-05
"495","GA","Marion County",2.57100846793542e-05
"496","GA","Meriwether County",2.60740652382811e-05
"497","GA","Miller County",2.32606297829364e-05
"498","GA","Mitchell County",2.49549556345082e-05
"499","GA","Monroe County",1.63071704913739e-05
"500","GA","Montgomery County",2.31296372633223e-05
"501","GA","Morgan County",1.69976069687657e-05
"502","GA","Murray County",2.55531095102507e-05
"503","GA","Muscogee County",2.06530427241415e-05
"504","GA","Newton County",2.29952622158263e-05
"505","GA","Oconee County",1.01828069945191e-05
"506","GA","Oglethorpe County",2.23165016156338e-05
"507","GA","Paulding County",1.85314323039415e-05
"508","GA","Peach County",2.25057445363895e-05
"509","GA","Pickens County",1.66752759255968e-05
"510","GA","Pierce County",2.16622510864221e-05
"511","GA","Pike County",1.79184760432815e-05
"512","GA","Polk County",2.54593702636128e-05
"513","GA","Pulaski County",2.31551415791211e-05
"514","GA","Putnam County",1.78197522906564e-05
"515","GA","Quitman County",3.3370916678673e-05
"516","GA","Rabun County",2.05619563774363e-05
"517","GA","Randolph County",2.94842182174557e-05
"518","GA","Richmond County",2.47110649343609e-05
"519","GA","Rockdale County",2.16252659058715e-05
"520","GA","Schley County",2.43825238496272e-05
"521","GA","Screven County",2.58445678879113e-05
"522","GA","Seminole County",2.25448480277612e-05
"523","GA","Spalding County",2.29008495733325e-05
"524","GA","Stephens County",2.31352886105435e-05
"525","GA","Stewart County",3.12700160899121e-05
"526","GA","Sumter County",2.60528907259387e-05
"527","GA","Talbot County",2.60833694875632e-05
"528","GA","Taliaferro County",3.08754036369858e-05
"529","GA","Tattnall County",2.57123841245415e-05
"530","GA","Taylor County",2.65859820484665e-05
"531","GA","Telfair County",2.79589759860404e-05
"532","GA","Terrell County",2.63741569875521e-05
"533","GA","Thomas County",1.94122970833913e-05
"534","GA","Tift County",2.24433595861057e-05
"535","GA","Toombs County",2.38254171601648e-05
"536","GA","Towns County",2.08591678503736e-05
"537","GA","Treutlen County",2.66266737204851e-05
"538","GA","Troup County",2.17420829775071e-05
"539","GA","Turner County",2.96047817908959e-05
"540","GA","Twiggs County",2.73131176813792e-05
"541","GA","Union County",2.10659486462802e-05
"542","GA","Upson County",2.39879186999538e-05
"543","GA","Walker County",2.24741289724044e-05
"544","GA","Walton County",1.86347274338105e-05
"545","GA","Ware County",2.35903182393861e-05
"546","GA","Warren County",2.97785338980319e-05
"547","GA","Washington County",2.35728210393093e-05
"548","GA","Wayne County",2.30150891295973e-05
"549","GA","Webster County",2.75914759765148e-05
"550","GA","Wheeler County",2.92826686398297e-05
"551","GA","White County",2.20513307124185e-05
"552","GA","Whitfield County",2.09732896453014e-05
"553","GA","Wilcox County",2.8015160966523e-05
"554","GA","Wilkes County",2.59674998769891e-05
"555","GA","Wilkinson County",2.47309651986564e-05
"556","GA","Worth County",2.45650305656099e-05
"557","HI","Hawaii",1.63148102835272e-05
"558","HI","Hawaii County",1.96909383698747e-05
"559","HI","Honolulu County",1.56444295687989e-05
"560","HI","Kauai County",1.60847378046304e-05
"561","HI","Maui County",1.7895881002894e-05
"562","ID","Idaho",1.81326712402429e-05
"563","ID","Ada County",1.45541480621002e-05
"564","ID","Adams County",2.23487215618144e-05
"565","ID","Bannock County",2.05690883527665e-05
"566","ID","Bear Lake County",2.24337436518095e-05
"567","ID","Benewah County",2.32798567177373e-05
"568","ID","Bingham County",2.02058887030176e-05
"569","ID","Blaine County",9.74098031898507e-06
"570","ID","Boise County",1.77419952789793e-05
"571","ID","Bonner County",1.82818136246383e-05
"572","ID","Bonneville County",1.62401444651123e-05
"573","ID","Boundary County",2.13949599983732e-05
"574","ID","Butte County",2.21148707418595e-05
"575","ID","Camas County",1.75666745626702e-05
"576","ID","Canyon County",2.28850112371167e-05
"577","ID","Caribou County",1.86476020949848e-05
"578","ID","Cassia County",2.14105610489989e-05
"579","ID","Clark County",3.13512901494894e-05
"580","ID","Clearwater County",2.15108971186218e-05
"581","ID","Custer County",2.18761324415778e-05
"582","ID","Elmore County",2.32162666261115e-05
"583","ID","Franklin County",2.07916484069092e-05
"584","ID","Fremont County",2.44653469165441e-05
"585","ID","Gem County",2.22485966635915e-05
"586","ID","Gooding County",2.32209541762771e-05
"587","ID","Idaho County",2.16413767764438e-05
"588","ID","Jefferson County",1.90279182844452e-05
"589","ID","Jerome County",2.33958791586831e-05
"590","ID","Kootenai County",1.79651441188182e-05
"591","ID","Latah County",1.92831194770747e-05
"592","ID","Lemhi County",2.20443236040282e-05
"593","ID","Lewis County",2.41124507628252e-05
"594","ID","Lincoln County",2.32259443242517e-05
"595","ID","Madison County",2.51177205357701e-05
"596","ID","Minidoka County",2.31021952286987e-05
"597","ID","Nez Perce County",1.94225938957859e-05
"598","ID","Oneida County",2.35653127744058e-05
